Data Center ID,Agency Data Center ID,Legacy Data Center ID,Record Status,Record Validity,Agency Abbreviation,Component,Office Name,Data Center Name,Published Name,Core Classification,Non-core Sub-Category,City,State,Province,Zip Code,Country,Ownership Type,Colocation Provider,Colocation Provider Type,Government-Wide Provider,Providing Services,Percent Services Paid by Other Agencies,Other Agencies Serviced,Data Center Tier,Gross Floor Area,Total Customer Floor Area,Annual Cost per Sq Ft,FTE,FTE Cost,Electricity Included in Cost,Electricity is Metered,Total Power Capacity,Total IT Power Capacity,Avg Electricity Usage,Avg IT Electricity Usage,Cost per KWH,Rack Count,Total IBM Mainframes,Total Other Mainframes,Total Windows Servers,Total Unix Servers,Total Linux Servers,Total HPC Cluster Nodes,Other Servers,Total Virtual Hosts,Total Virtual OS,Total Storage,Used Storage,Closing Stage,Closing Fiscal Year,Closing Quarter,Real Property Disposition,Real Property Disposition Date,Total Floor Area Eliminated or Repurposed,Total Decommissioned Physical Servers,Total Servers Moved to Other Data Center,Overall FTE Reduction
FDCCI-DC-45736,FDCCI-DC-2782,,existing,Valid Facility,GSA,FAS,,3R-VA0080ZZ,"Sterling, VA",NonCore,,Sterling,VA,,"	20166",U.S.,Outsourcing,No,,,No,,,Tier 3,400,,583,40,,No,No,,,,,,37,0,0,7,3,14,3,0,7,49,149,101,Not closing,,,,Q2/2015,,16,,
FDCCI-DC-45650,FDCCI-DC-15757,,existing,Valid Facility,GSA,OGP,,3R-VA0279ZZ,CTI,NonCore,,Herndon,VA,,"	20170",U.S.,Outsourcing,No,,,No,,,Tier 3,12,,10,2.25,,Yes,No,,,,,,1,0,0,1,5,0,0,0,0,0,4,2.12,Not closing,,,,,,,,
FDCCI-DC-45737,FDCCI-DC-2669,,existing,Valid Facility,GSA,FAS,,8R-UT1515ZZ,"Salt Lake City, UT",NonCore,,Salt Lake City,UT,,"	84116",U.S.,Outsourcing,No,,,No,,,Tier 3,180,,42,2,,No,No,,,,,,15,0,2,12,1,8,0,0,19,19,54,45,Not closing,,,,,,,,
FDCCI-DC-45653,FDCCI-DC-14520,,existing,Valid Facility,GSA,FAS,,Savvis Elk Grove Village,Savvis Elk Grove Village,NonCore,,Elk Grove Village,IL,,"	60007",U.S.,Outsourcing,No,,,No,,,Tier 3,736,,12,2,,No,No,,,,,,34,0,0,8,3,5,0,0,4,37,149,80,Not closing,,,,Q2/2015,,8,,
FDCCI-DC-45738,FDCCI-DC-2515,,existing,Valid Facility,GSA,OCIO,,14 WW-VA0808,R14,NonCore,,FAIRFAX,VA,,"	22030",U.S.,Outsourcing,No,,,No,,,Tier 2,648,,12,0.24,,No,No,62.3,28.8,,0.98,,19,0,0,32,0,0,0,20,2,2,12,9,Closed,2013,Q2,Dispose at close,Q3/2013,648,48,4,0
FDCCI-DC-45651,FDCCI-DC-1033,,existing,Invalid Facility,GSA,FAS,,Elk Grove Village,"Elk Grove Village, Il",NonCore,,Elk Grove Village,IL,,"	60007",U.S.,Outsourcing,No,,,No,,,Tier 3,736,,12,,,No,No,,,,,,0,0,0,8,22,8,0,0,2,27,34,16,Not closing,,,,,,,,
FDCCI-DC-45739,FDCCI-DC-2514,,existing,Valid Facility,GSA,OCIO,,13R-DC0021A,R13,NonCore,,WASHINGTON,DC,,"	20405",U.S.,Agency Owned,No,,,No,,,Tier 2,3600,,12,2.42,,No,No,,,,0.81,,48,0,0,87,2,5,0,10,6,86,54.85,37.08,Closed,2013,Q4,Repurpose,Q4/2013,3600,77,33,0
FDCCI-DC-45654,FDCCI-DC-947,,existing,Valid Facility,GSA,FAS,,5R-MN0902,"Eagan, Mn",NonCore,,Eagan,MN,,"	55121",U.S.,Outsourcing,No,,,No,,,Tier 3,335,,49,12,,No,Yes,,,,,,18,0,1,10,1,5,0,0,23,23,67,51,Not closing,,,,,,,,
FDCCI-DC-45740,FDCCI-DC-2513,,existing,Valid Facility,GSA,FAS,,12CC-VA0905,R12,NonCore,,ARLINGTON,VA,,"	22202",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,3080,,12,0.02,,No,Yes,,,,0.71,,103,0,0,141,0,8,0,7,2,2,95,52,Closed,2013,Q4,Dispose at later date,Q4/2013,3080,28,128,0
FDCCI-DC-45752,FDCCI-DC-592,,existing,Valid Facility,GSA,PBS,,11R-VA0909 ,"Chantilly, VA",Core,,Chantilly,VA,,"	20151",U.S.,Outsourcing,No,,,No,,,Tier 3,4860,,12,20,,No,Yes,250,150,61,38,0.08,33,0,0,43,48,5,0,74,51,404,270.52,197.46,Not closing,,,,,,,,
FDCCI-DC-45741,FDCCI-DC-2512,,existing,Valid Facility,GSA,OCIO,,11R-DC0031,R11,NonCore,,WASHINGTON,DC,,"	20407",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,2400,,12,5.08,,No,No,,3.6,,0.9,,44,0,0,25,1,0,0,20,7,65,51.2,40.5,Not closing,,,,Q2/2015,,0,,
FDCCI-DC-45753,FDCCI-DC-586,,existing,Valid Facility,GSA,CFO/CPO,,9R-AZ0777ZZ,"CGI Phoenix, AZ",NonCore,,Phoenix,AZ,,"	85044",U.S.,Outsourcing,No,,,No,,,Tier 4,2240,,12,4,,No,No,,,,,,9,0,0,0,1,41,0,0,3,19,196,196,Not closing,,,,,,,,
